case,model,sha256,embsim_version,embsim_sha256,model_sha256,instructions,cycles,fetch_penalty,branch_penalty,code_soft_misses,code_hard_misses,code_invalid_fills,code_replacements,code_sequential_hard_misses,code_nonsequential_hard_misses,code_word_fetches,code_split_word_fetches,code_set_hard_misses
6b53,predicted-lowest,1de35143089abfb23a1ba881d2c3487f11257b3d3e2c0aedd6a1030c5852bb12,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,3e1d6134f1ebcfed2b39899bb8b5f7036049da346bdd913f5df46a5913542178,368643383,392663566,13247634,10772549,765614,1248202,13,1248189,932041,316161,507557004,138913621,0:42076;1:32082;2:40004;3:34000;4:34001;5:40002;6:40003;7:34006;8:36007;9:20007;10:20007;11:20007;12:20007;13:20007;14:20002;15:43995;16:91976;17:38002;18:38002;19:40007;20:48019;21:45915;22:36006;23:52017;24:48009;25:48009;26:44007;27:40010;28:46006;29:52002;30:50000;31:34002
6b53,predicted-fill,1de35143089abfb23a1ba881d2c3487f11257b3d3e2c0aedd6a1030c5852bb12,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,03a1a81b8a79b4b758e95437ab768160a33b43188560d7f73fe74671fc5346c7,368643383,392640650,13224718,10772549,744248,1248047,13,1248034,931953,316094,507557004,138913621,0:42068;1:32076;2:39997;3:33993;4:33994;5:40000;6:40003;7:34004;8:36004;9:20004;10:20004;11:20004;12:20004;13:20004;14:20000;15:43996;16:91978;17:38001;18:38001;19:40000;20:48009;21:45913;22:35997;23:52000;24:48001;25:48001;26:43997;27:39999;28:46002;29:51998;30:49998;31:33997
6b53,lru-lowest,1de35143089abfb23a1ba881d2c3487f11257b3d3e2c0aedd6a1030c5852bb12,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,a621bfdcdad8db69d0d548b6f41cadff867540fcd95fd8e985f430eb93869b56,368643383,440209028,60793096,10772549,51843376,894972,13,894959,694063,200909,507557004,138913621,0:34001;1:34001;2:32000;3:18000;4:18001;5:20001;6:20000;7:18001;8:18000;9:12000;10:12000;11:12000;12:12000;13:12000;14:14000;15:30002;16:44002;17:34001;18:34001;19:48001;20:42001;21:34946;22:30001;23:34002;24:32002;25:32002;26:38002;27:40002;28:40000;29:34000;30:30001;31:32001
6b53,predicted-lowest-split1,1de35143089abfb23a1ba881d2c3487f11257b3d3e2c0aedd6a1030c5852bb12,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,c1f7a05002fd94f074766fabddc2eaceb09634a06c063e80643f51a1e429b336,368643383,531577187,152161255,10772549,765614,1248202,13,1248189,932041,316161,507557004,138913621,0:42076;1:32082;2:40004;3:34000;4:34001;5:40002;6:40003;7:34006;8:36007;9:20007;10:20007;11:20007;12:20007;13:20007;14:20002;15:43995;16:91976;17:38002;18:38002;19:40007;20:48019;21:45915;22:36006;23:52017;24:48009;25:48009;26:44007;27:40010;28:46006;29:52002;30:50000;31:34002
9e3e,predicted-lowest,520e21d79c95321b8672224970e27892fa23e8482b71e4a890773e092126cb92,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,3e1d6134f1ebcfed2b39899bb8b5f7036049da346bdd913f5df46a5913542178,368467373,393437062,14197140,10772549,416200,1378094,18,1378076,1005490,372604,512574992,144107619,0:42001;1:38001;2:40073;3:40000;4:44000;5:38000;6:42000;7:26000;8:26000;9:26000;10:26000;11:26000;12:26000;13:48001;14:56000;15:40000;16:34000;17:34001;18:68000;19:58000;20:32001;21:64001;22:54002;23:54002;24:54002;25:48002;26:48002;27:48002;28:56002;29:44003;30:45998;31:52000
9e3e,predicted-fill,520e21d79c95321b8672224970e27892fa23e8482b71e4a890773e092126cb92,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,03a1a81b8a79b4b758e95437ab768160a33b43188560d7f73fe74671fc5346c7,368467373,392639342,13399420,10772549,2701110,1069831,18,1069813,751825,318006,512574992,144107619,0:31325;1:25325;2:27397;3:26643;4:33961;5:27961;6:31080;7:15080;8:15080;9:15080;10:15080;11:15080;12:15080;13:36632;14:47358;15:34634;16:28634;17:28635;18:50640;19:43322;20:23319;21:49326;22:47319;23:47319;24:43322;25:44635;26:43319;27:43369;28:47959;29:38639;30:36637;31:40641
9e3e,lru-lowest,520e21d79c95321b8672224970e27892fa23e8482b71e4a890773e092126cb92,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,a621bfdcdad8db69d0d548b6f41cadff867540fcd95fd8e985f430eb93869b56,368467373,411671089,32431167,10772549,24010907,842026,18,842008,637560,204466,512574992,144107619,0:36001;1:26001;2:28000;3:20000;4:20000;5:18000;6:18000;7:12000;8:12000;9:12000;10:12000;11:12000;12:12000;13:30001;14:40001;15:20000;16:18000;17:18001;18:36002;19:30002;20:22001;21:32001;22:32002;23:32002;24:32002;25:38002;26:34002;27:34002;28:38002;29:38001;30:40000;31:40000
9e3e,predicted-lowest-split1,520e21d79c95321b8672224970e27892fa23e8482b71e4a890773e092126cb92,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,c1f7a05002fd94f074766fabddc2eaceb09634a06c063e80643f51a1e429b336,368467373,537544681,158304759,10772549,416200,1378094,18,1378076,1005490,372604,512574992,144107619,0:42001;1:38001;2:40073;3:40000;4:44000;5:38000;6:42000;7:26000;8:26000;9:26000;10:26000;11:26000;12:26000;13:48001;14:56000;15:40000;16:34000;17:34001;18:68000;19:58000;20:32001;21:64001;22:54002;23:54002;24:54002;25:48002;26:48002;27:48002;28:56002;29:44003;30:45998;31:52000
replacement-probe,predicted-lowest,960a05d957a60e344444b33d835984a864de77b5b2b9de801de623337ea69356,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,3e1d6134f1ebcfed2b39899bb8b5f7036049da346bdd913f5df46a5913542178,13898,65017,49135,1984,55,4908,59,4849,0,4908,13899,1,0:157;1:155;2:155;3:155;4:153;5:153;6:153;7:153;8:153;9:153;10:153;11:153;12:153;13:153;14:153;15:153;16:153;17:153;18:153;19:153;20:153;21:153;22:153;23:153;24:153;25:153;26:153;27:153;28:153;29:153;30:155;31:153
replacement-probe,predicted-fill,960a05d957a60e344444b33d835984a864de77b5b2b9de801de623337ea69356,embsim 0.2.0,41210159d05177ad70e4b364a4df2e11f1995cacc7f7e58154bd964824a3f037,03a1a81b8a79b4b758e95437ab768160a33b43188560d7f73fe74671fc5346c7,13898,65026,49144,1984,54,4909,59,4850,0,4909,13899,1,0:157;1:155;2:155;3:156;4:153;5:153;6:153;7:153;8:153;9:153;10:153;11:153;12:153;13:153;14:153;15:153;16:153;17:153;18:153;19:153;20:153;21:153;22:153;23:153;24:153;25:153;26:153;27:153;28:153;29:153;30:155;31:153
